,gly_resc_score,Opening,has_cHelix,all_buns,hx_sc,h1_len,BuriedHyphobSAperRes,ExtendedE6,CurvedLongArm,prot,gly_resc_nres,score_res_betacart,base_width,short_arm_l,H3_len,non_ala_hyphob_percent,Net_charge,long_arm_l,Second_b_place,pocket_vol,scaffold_len,E3_MainBulgeCurve,sc_buns,Second_bulge_E3,av_strand_hb,sspred,hairpin_len,dist,trp_lock_score,long_arm_ang,shoot
ABKSTAQT_BasicBeNTF2_designed_0000.pdb,-5.5247,1,0.0,6.0,0.703282,19.0,60.456,0.0,0.0,0.4957318914261126,2.0,-3.64878,3.0,2.0,10.0,30.0,-4.0,3.0,1.0,196.0,111,3.0,5.0,1.0,-1.14334,0.412497,4.0,16.813056434842537,-4.89177,32.81658153695821,67.7945686340172
ABNWXGRU_BasicBeNTF2_designed_0000.pdb,-2.99026,1,0.0,6.0,0.75141,19.0,68.3895,0.0,0.0,2.587001410527753,1.0,-3.68506,3.0,2.0,10.0,40.0,-4.0,3.0,1.0,185.0,111,3.0,3.0,1.0,-1.09689,0.372442,4.0,18.41539804551181,-5.04784,19.69566908789951,71.97886445551343
ABOGXWHJ_BasicBeNTF2_designed_0000.pdb,-1.97115,1,0.0,5.0,0.74423,19.0,69.7448,0.0,0.0,-7.818792560732267,1.0,-3.88912,5.0,1.0,10.0,40.0,-7.0,2.0,0.0,139.0,107,2.0,3.0,0.0,-1.19361,0.277213,4.0,22.58565595992489,0.0,81.75173801182748,26.967008786753325
ABOTQUON_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,4.0,0.725019,19.0,67.8917,0.0,0.0,-10.17221678541559,0.0,-3.8588,3.0,2.0,15.0,40.0,-6.0,2.0,0.0,197.99992919,111,1.0,1.0,0.0,-1.25316,0.163999,4.0,22.21503050608453,-10.5964,124.87796970954196,61.41687388103743
ABOZLAOE_BasicBeNTF2_designed_0000.pdb,-1.36949,1,0.0,5.0,0.768314,19.0,71.4753,0.0,0.0,-4.343162020472731,1.0,-3.72977,3.0,2.0,14.0,28.6,-3.0,3.0,0.0,265.0,115,3.0,4.0,0.0,-1.10944,0.244362,4.0,23.37072292611461,-14.2788,84.33949762041097,28.564607273138876
ABPFFKML_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,2.0,0.756722,19.0,76.116,0.0,0.0,-8.475456386959289,0.0,-3.87373,5.0,2.0,14.0,28.6,-7.0,2.0,0.0,271.0,119,2.0,0.0,0.0,-1.20519,0.262459,4.0,24.135087943109056,-9.58049,101.51568543507213,39.06030284678488
ABPSQSCS_BasicBeNTF2_designed_0000.pdb,-2.59886,1,0.0,6.0,0.75843,19.0,68.425,0.0,0.0,-9.300236833787086,1.0,-3.91492,5.0,1.0,14.0,28.6,-3.0,2.0,0.0,268.000095844,115,2.0,4.0,0.0,-1.2243,0.237805,6.0,25.144121240486047,0.0,100.81480802639155,40.21957414346903
ABQFOYSU_BasicBeNTF2_designed_0000.pdb,-2.96458,1,0.0,1.0,0.720101,19.0,70.3534,0.0,0.0,-1.5816939693306278,1.0,-3.84633,5.0,1.0,11.0,72.7,-5.0,3.0,1.0,92.0,113,2.0,0.0,1.0,-1.16826,0.444183,4.0,23.7739543879386,0.0,39.21185154351856,54.6282057368898
ABRWRMNE_BasicBeNTF2_designed_0000.pdb,-1.1736,1,0.0,2.0,0.722213,19.0,70.4272,0.0,0.0,1.014910387847836,1.0,-3.64051,3.0,2.0,10.0,30.0,-3.0,3.0,1.0,326.0,111,2.0,1.0,1.0,-1.08475,0.293867,4.0,19.961911959106487,-11.0676,37.6196114896985,72.6783228369876
ABRXGFVH_BasicBeNTF2_designed_0000.pdb,-2.14759,1,0.0,7.0,0.705922,19.0,69.8174,0.0,0.0,-8.896360451964258,1.0,-3.86535,5.0,2.0,11.0,45.5,-6.0,2.0,0.0,82.0,119,3.0,5.0,0.0,-1.18858,0.260688,6.0,23.521638467516727,-12.7807,87.57014677526361,17.867410842469923
ABTHEYAH_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,6.0,0.732397,19.0,74.3351,0.0,0.0,-4.94433608095086,0.0,-3.93041,5.0,1.0,10.0,40.0,-4.0,3.0,0.0,558.0,114,3.0,2.0,0.0,-1.15368,0.299132,6.0,25.574758342931872,0.0,85.35467073736046,15.357618648438546
ABTOHZCV_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,3.0,0.73704,19.0,68.288,0.0,0.0,-9.615219994092797,0.0,-3.98451,3.0,2.0,15.0,33.3,-6.0,2.0,0.0,123.000043988,111,1.0,3.0,0.0,-1.20892,0.235745,4.0,22.40163515234816,-14.6213,116.70984204546433,53.77269527042547
ABUMYYIY_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,6.0,0.772273,19.0,71.7483,0.0,0.0,-0.9815225122050641,0.0,-3.81918,3.0,2.0,14.0,35.7,-3.0,3.0,1.0,310.000110865,115,2.0,3.0,1.0,-1.14176,0.281065,4.0,22.179562807035516,-7.21803,37.479283088709906,60.34428649919845
ABVBXLTL_BasicBeNTF2_designed_0000.pdb,-2.50532,1,0.0,8.0,0.759908,19.0,66.2536,0.0,0.0,-4.987450013800128,1.0,-3.78975,3.0,2.0,14.0,42.9,-4.0,3.0,0.0,338.0,115,3.0,5.0,0.0,-1.12038,0.215419,4.0,22.95409754745571,-9.15285,83.05746125234849,18.6959936185834
ABWWPWFD_BasicBeNTF2_designed_0000.pdb,-2.73667,1,0.0,4.0,0.659646,19.0,66.9744,0.0,0.0,-8.227160801208363,1.0,-3.45456,5.0,1.0,11.0,45.5,-5.0,2.0,0.0,193.99993062,107,2.0,3.0,0.0,-1.20856,0.25791,4.0,25.051347162871345,0.0,100.68427976584684,46.03430015958142
ABXDRGBH_BasicBeNTF2_designed_0000.pdb,-2.04715,1,0.0,10.0,0.72473,19.0,71.0605,0.0,0.0,-8.837983156728225,1.0,-3.84453,5.0,1.0,14.0,42.9,-3.0,2.0,0.0,192.999930978,111,3.0,3.0,0.0,-1.13695,0.284048,4.0,24.065107184580462,0.0,102.12927875586746,33.905071672067805
ABYCWVHU_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,6.0,0.764983,19.0,74.1384,0.0,0.0,-8.915656384248162,0.0,-3.64156,5.0,2.0,11.0,54.5,-7.0,2.0,0.0,163.999941349,115,2.0,4.0,0.0,-1.12635,0.274595,4.0,25.91643379915724,-8.43644,99.89118923392601,39.82767221687547
ABYIABNL_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,4.0,0.753266,19.0,72.8289,0.0,0.0,-9.460829113983305,0.0,-3.91179,3.0,2.0,15.0,40.0,-11.0,2.0,0.0,225.0,113,2.0,3.0,0.0,-1.22164,0.185465,4.0,21.167255208779963,-12.748,99.73904612792074,35.848822120707325
ABYOQMKX_BasicBeNTF2_designed_0000.pdb,-1.63314,1,0.0,6.0,0.761421,19.0,78.8486,0.0,0.0,0.627585533404984,1.0,-4.00382,3.0,2.0,10.0,40.0,-4.0,3.0,1.0,43.0,111,3.0,2.0,1.0,-1.16564,0.266639,4.0,18.44951116988373,-11.9062,35.3549441836227,58.427478010396115
ABZKVQNP_BasicBeNTF2_designed_0000.pdb,-1.48772,1,0.0,1.0,0.680418,19.0,60.8821,0.0,0.0,-0.13273786482029948,1.0,-3.65212,3.0,2.0,10.0,30.0,-4.0,3.0,1.0,81.0000289679,111,3.0,0.0,1.0,-1.10437,0.27292,4.0,19.224058222420524,-8.82166,36.46842788462002,54.76532428941448
ACAUDUFI_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,4.0,0.720707,19.0,69.6462,0.0,0.0,-1.5822627985722875,0.0,-3.67898,3.0,2.0,15.0,46.7,-6.0,3.0,1.0,168.0,118,2.0,1.0,1.0,-1.18886,0.131643,4.0,22.057459831182612,-12.8401,49.45440770312528,57.40501579622436
ACBDHCRZ_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,6.0,0.667313,19.0,69.9447,1.0,0.0,-10.877468275226793,0.0,-3.84734,5.0,1.0,15.0,66.7,-5.0,2.0,0.0,213.999923468,117,1.0,3.0,0.0,-1.22988,0.405484,6.0,27.075290631355063,0.0,109.25134497955659,36.80712711496804
ACDMHIJW_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,10.0,0.739771,19.0,77.4566,0.0,0.0,-9.213876740394898,0.0,-3.96283,3.0,2.0,11.0,36.4,-8.0,2.0,0.0,475.000169873,107,2.0,2.0,0.0,-1.13609,0.222828,4.0,21.687000268139986,-9.98524,104.49844328144643,34.96226890101045
ACDSEAWG_BasicBeNTF2_designed_0000.pdb,-2.85238,1,0.0,7.0,0.761254,19.0,72.5816,0.0,0.0,-8.03216400239686,1.0,-3.8476,5.0,1.0,10.0,30.0,-7.0,2.0,0.0,470.000168085,107,3.0,3.0,0.0,-1.12763,0.300857,4.0,22.05300947190699,0.0,76.71122160234236,24.00619893726588
ACEGNQID_BasicBeNTF2_designed_0000.pdb,-3.04239,1,0.0,3.0,0.66979,19.0,64.3635,0.0,0.0,-1.67940949497725,1.0,-3.66931,5.0,1.0,14.0,35.7,-4.0,3.0,1.0,253.00009048,115,2.0,1.0,1.0,-1.16826,0.304242,4.0,24.93577443072416,0.0,51.20509442900885,54.7716214414873
ACGRUOMV_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,4.0,0.674292,19.0,67.6561,0.0,0.0,-9.652480010849715,0.0,-3.66599,3.0,2.0,15.0,33.3,-7.0,2.0,0.0,73.0,113,1.0,3.0,0.0,-1.17338,0.258401,4.0,21.40493399182376,-7.55738,97.23242183318398,33.09510599693908
ACHDJRGH_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,4.0,0.686199,19.0,72.3699,0.0,1.0,0.8937870753391017,0.0,-3.55311,3.0,2.0,11.0,63.6,-4.0,4.0,0.0,769.999724627,119,3.0,0.0,0.0,-1.13215,0.341716,4.0,25.138636103236376,-2.84306,47.83589083471637,43.06964264731906
ACLQRYBM_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,0.0,0.798835,19.0,74.9722,0.0,0.0,-1.1772653569862186,0.0,-3.83097,3.0,2.0,10.0,50.0,-3.0,3.0,1.0,694.0,114,3.0,0.0,1.0,-1.1654,0.200405,4.0,20.53096103632718,-9.80143,35.7408169963216,55.213411387718395
ACLYWHRW_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,3.0,0.712682,19.0,67.4786,0.0,0.0,1.0447881206648866,0.0,-3.65605,3.0,2.0,10.0,30.0,-3.0,3.0,1.0,200.000107288,111,3.0,1.0,1.0,-1.11598,0.319644,4.0,18.90503408224093,-9.85498,28.19348406053772,63.756134950851035
ACNGOVUD_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,3.0,0.765814,19.0,74.8035,0.0,0.0,-9.906683766930175,0.0,-4.0029,5.0,1.0,15.0,40.0,-3.0,2.0,0.0,137.000048995,115,2.0,2.0,0.0,-1.20648,0.259327,6.0,24.44917320009786,0.0,110.4084780704713,35.6372233525249
ACOGORZC_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,3.0,0.736504,19.0,71.6377,0.0,0.0,-9.023352446796958,0.0,-3.65725,3.0,2.0,14.0,42.9,-3.0,2.0,0.0,414.0,111,3.0,2.0,0.0,-1.20003,0.225308,4.0,19.241116069271296,-9.31567,95.74420758258452,29.161418324876934
ACPBAATW_BasicBeNTF2_designed_0000.pdb,-5.07931,1,0.0,6.0,0.73737,19.0,69.0215,0.0,0.0,1.6041162099766506,2.0,-3.69663,3.0,2.0,10.0,30.0,-8.0,3.0,1.0,187.000066876,111,3.0,5.0,1.0,-1.13159,0.316677,4.0,18.95737205017377,-10.0274,37.32825033969755,65.14804947447097
ACRLJHIU_BasicBeNTF2_designed_0000.pdb,-6.26745,1,0.0,7.0,0.690271,19.0,64.1999,0.0,0.0,5.403226891597656,2.0,-3.73055,3.0,2.0,10.0,30.0,-6.0,4.0,2.0,104.999962449,117,2.0,7.0,1.0,-1.14473,0.29117,4.0,21.64284603878566,-6.52055,10.811097166343616,79.89936110384372
ACTIJSIZ_BasicBeNTF2_designed_0000.pdb,-2.97798,1,0.0,3.0,0.765749,19.0,71.8991,0.0,0.0,-9.107015795044974,1.0,-3.89857,3.0,2.0,14.0,50.0,-7.0,2.0,0.0,228.999918103,111,2.0,2.0,0.0,-1.10591,0.260648,4.0,20.233810694505188,-6.41926,96.71509855305648,33.54946355935536
ACVIODMY_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,6.0,0.767419,19.0,71.0317,0.0,0.0,6.05182457185531,0.0,-3.87105,3.0,2.0,10.0,70.0,-4.0,4.0,1.0,254.0,117,2.0,2.0,1.0,-1.06727,0.319409,4.0,20.88869755220976,-6.30157,28.163273139486,62.75607632761988
ACVNRQAR_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,3.0,0.794034,19.0,75.0147,0.0,0.0,-9.571558851774455,0.0,-3.69679,5.0,1.0,15.0,40.0,-9.0,2.0,0.0,59.9999785423,115,1.0,2.0,0.0,-1.13097,0.236516,6.0,25.6105537314839,0.0,110.85763043958583,47.70914244306846
ACXZBWSC_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,5.0,0.776586,19.0,69.8812,0.0,0.0,-8.412010680032429,0.0,-3.61802,3.0,2.0,11.0,36.4,-5.0,2.0,0.0,248.0,107,3.0,2.0,0.0,-1.23303,0.209528,4.0,19.399155086207372,-12.5765,97.90024412109462,33.060703221043696
ACYMAMJS_BasicBeNTF2_designed_0000.pdb,-1.4059,1,0.0,6.0,0.745817,19.0,69.0712,0.0,0.0,-8.235744090238985,1.0,-3.76946,3.0,2.0,15.0,26.7,-3.0,2.0,0.0,107.0,113,2.0,4.0,0.0,-1.17322,0.299253,4.0,20.55506192324948,-12.8857,106.60411280912741,47.50798752288938
ACYOHLFP_BasicBeNTF2_designed_0000.pdb,-2.50054,1,0.0,3.0,0.768139,19.0,81.9741,0.0,0.0,0.9527619368155307,1.0,-3.82948,5.0,1.0,14.0,50.0,-3.0,3.0,1.0,68.0,115,2.0,0.0,1.0,-1.145,0.265121,4.0,24.930257338780226,0.0,40.29013203917702,65.57187902116893
ACZJPRKI_BasicBeNTF2_designed_0000.pdb,-2.04662,1,0.0,5.0,0.695459,19.0,63.8152,0.0,0.0,-8.394369989748395,1.0,-3.83325,3.0,2.0,15.0,33.3,-4.0,2.0,0.0,87.5474268401,113,3.0,2.0,0.0,-1.22031,0.276558,4.0,19.541069610196583,-13.6666,84.39230264491123,23.579372343158525
ADBKTANY_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,3.0,0.751619,19.0,75.8397,0.0,0.0,-1.1324744835784557,0.0,-3.6792,3.0,2.0,11.0,36.4,-5.0,3.0,1.0,426.0,116,2.0,2.0,1.0,-1.11062,0.265216,4.0,21.139280693201126,-4.14973,37.131952091480116,56.32188671750923
ADDPUOHG_BasicBeNTF2_designed_0000.pdb,-4.40914,1,0.0,6.0,0.778363,19.0,77.4011,0.0,0.0,-0.38369777584949816,2.0,-4.03336,3.0,2.0,10.0,50.0,-3.0,3.0,1.0,200.0,111,2.0,4.0,1.0,-1.09863,0.280068,4.0,20.77334125832446,-6.64292,38.49926428607705,59.29081221380251
ADEFVVBA_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,5.0,0.761149,19.0,73.9373,0.0,0.0,-0.4442723419744894,0.0,-3.9069,3.0,2.0,10.0,50.0,-7.0,3.0,1.0,64.0,111,2.0,4.0,1.0,-1.07221,0.300752,4.0,21.71923501763017,-11.2499,34.470343140086115,65.23850802065085
ADFTPNRG_BasicBeNTF2_designed_0000.pdb,-2.20807,1,0.0,4.0,0.737608,19.0,67.7705,0.0,0.0,-0.6747318058315788,1.0,-3.70382,3.0,2.0,10.0,50.0,-4.0,3.0,1.0,239.000085473,111,2.0,2.0,1.0,-1.12979,0.418915,4.0,19.65685432311724,-13.0268,39.86122988987594,66.3973164470994
ADGVLQPC_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,4.0,0.774558,19.0,72.4601,0.0,0.0,-1.128984939017906,0.0,-3.89804,3.0,2.0,10.0,40.0,-6.0,3.0,1.0,629.000224948,114,2.0,2.0,1.0,-1.13011,0.214152,4.0,21.56872705000437,-6.00015,47.72514900196159,49.5840015496849
ADHKPBNW_BasicBeNTF2_designed_0000.pdb,-2.49269,1,0.0,3.0,0.716723,19.0,67.1296,0.0,0.0,-8.945983365734534,1.0,-3.77203,5.0,1.0,15.0,40.0,-4.0,2.0,0.0,232.0,111,2.0,3.0,0.0,-1.31164,0.280413,4.0,25.25658158831959,0.0,106.63431121866722,40.63410766725008
ADHNSYIR_BasicBeNTF2_designed_0000.pdb,-2.13428,1,0.0,3.0,0.716422,19.0,72.4543,0.0,0.0,-6.755411595442432,1.0,-3.71344,3.0,2.0,14.0,28.6,-5.0,3.0,0.0,118.0,115,3.0,2.0,0.0,-1.1911,0.312,4.0,23.876220375486692,-9.8027,98.59581840348086,23.08804213691849
ADIKYWVH_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,3.0,0.742053,19.0,67.9638,0.0,0.0,-9.65121875186447,0.0,-3.82693,5.0,1.0,14.0,42.9,-5.0,2.0,0.0,80.0,111,2.0,1.0,0.0,-1.12205,0.274699,4.0,24.18881163704763,0.0,105.17282416691968,36.344506358486626
ADJNRSVK_BasicBeNTF2_designed_0000.pdb,-3.17701,1,0.0,5.0,0.771502,19.0,76.6083,0.0,0.0,5.5096343719467615,1.0,-3.95911,3.0,2.0,10.0,70.0,-5.0,4.0,2.0,253.0,117,3.0,3.0,1.0,-1.12278,0.270095,4.0,22.28055991044178,-10.3246,12.447688518235823,78.37967518280529
ADOTZLCC_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,4.0,0.775087,19.0,75.4295,0.0,0.0,-4.7956179587812855,0.0,-3.86501,3.0,2.0,15.0,40.0,-4.0,3.0,0.0,137.999950647,117,2.0,3.0,0.0,-1.172,0.141854,4.0,24.73870174670549,-6.08015,83.38649800955844,35.974483802955945
ADPFIUVG_BasicBeNTF2_designed_0000.pdb,-1.90088,1,0.0,7.0,0.706913,19.0,81.0271,0.0,0.0,1.543942439150083,1.0,-3.86087,3.0,2.0,10.0,50.0,-5.0,3.0,1.0,351.000125527,111,3.0,4.0,1.0,-1.08293,0.289197,4.0,18.08162190331915,-12.6715,21.780066682939843,70.59820377152712
ADPRPWQJ_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,6.0,0.781134,19.0,78.0821,0.0,0.0,0.5832027947204814,0.0,-3.9297,5.0,1.0,10.0,60.0,-4.0,3.0,1.0,458.000327587,115,2.0,4.0,1.0,-1.16116,0.251927,6.0,22.90168222845799,0.0,39.42978654208315,69.08629050574314
ADPSQUPO_BasicBeNTF2_designed_0000.pdb,-6.08816,1,0.0,1.0,0.760035,19.0,70.6513,0.0,0.0,0.6153355079511282,2.0,-3.9585,3.0,2.0,10.0,40.0,-6.0,3.0,1.0,79.0,111,2.0,1.0,1.0,-1.13467,0.249253,4.0,21.852833259050506,-9.80452,33.95106451207786,69.24980303636865
ADRSRFYX_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,6.0,0.73862,19.0,70.4408,1.0,0.0,-9.696807780004086,0.0,-3.9397,5.0,1.0,15.0,60.0,-4.0,2.0,0.0,108.0,117,1.0,4.0,0.0,-1.21473,0.401296,6.0,26.833073245435557,0.0,117.18460130852058,57.02509451584501
ADXWUCDI_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,7.0,0.718892,19.0,78.0489,0.0,0.0,-5.1882662580350125,0.0,-3.97884,3.0,2.0,14.0,50.0,-3.0,3.0,0.0,334.0,115,3.0,3.0,0.0,-1.20015,0.289641,4.0,24.43244428768137,-4.7824,94.82459500614227,30.17617723895907
